"","Barn [kW]","Dishwasher [kW]","Fridge [kW]","Furnace 1 [kW]","Furnace 2 [kW]","Garage door [kW]","Home office [kW]","Kitchen 12 [kW]","Kitchen 14 [kW]","Kitchen 38 [kW]","Living room [kW]","Microwave [kW]","Well [kW]","Wine cellar [kW]","dewPoint","gen [kW]","humidity","precipIntensity","precipProbability","pressure","temperature","use [kW]","visibility","windBearing","windSpeed"
"Barn [kW]",1.0,-0.001962143759511964,0.003075828127193999,-0.005468044620253034,0.011951916599102344,0.012845692031732555,-0.03643415282398246,0.0015804594816794819,-0.007451672751517858,0.002929228456944378,0.002908655368776572,-0.0054747303646326,-0.006401211346857587,0.00825692891108096,-0.011331275871007357,0.014727382180970255,0.007317228657466724,0.0039428928235271795,-0.00543240004046102,0.009703229784818135,-0.02890037979035429,0.40517176553621576,0.0012798765559058104,0.0011179468361982325,-0.021295674513048257
"Dishwasher [kW]",-0.001962143759511964,1.0,0.025159443065636704,0.00036988986542021046,-0.001397277925641391,-0.01718632122369,0.051766864444576656,0.015277088816113546,-0.006009504729269288,-0.011631257631831326,0.004241363644550077,-0.007682494102676379,0.02414552788320387,-0.000569523403001241,-0.021911887510601923,0.027303378424898113,-0.003029827713427721,0.005861302761454909,0.010995615690478931,-0.008249714005274609,-0.018576432066021872,0.4249360080788861,-0.010357385820309132,0.008665832427944133,-0.003934990297842351
"Fridge [kW]",0.003075828127193999,0.025159443065636704,1.0,-0.046381134998968336,-0.024944643292633753,-0.013712262553261521,0.021604351484965666,0.00821151863397243,-0.013207129200555416,-0.015389311816334269,0.05216143254237006,0.03147989306778608,0.02333688287184935,0.06338453413333278,0.09986777580248296,-0.012340512687385986,0.021612147792787223,0.019319842258856076,0.005622442913378742,-0.0022159337927647104,0.09126331071429974,0.17688995969165677,0.0011432318525840624,-0.011287918396068325,-0.0199083530468319
"Furnace 1 [kW]",-0.005468044620253034,0.00036988986542021046,-0.046381134998968336,1.0,0.2055988847423051,-0.014789894922567546,-0.002271819374474114,0.022279499317460313,0.012407839662222708,0.04037872839024968,0.06455846363472409,0.000516558480583086,0.01570278527442221,-0.09139360016779548,-0.2595983905871537,-0.022995604041679097,-0.036053515128970745,-0.005171362284563459,-0.0036644197153130847,-0.004738869987581551,-0.2506308794225772,0.4333608934294891,-0.049233645309109494,0.03401683949559758,0.06913355614710281
"Furnace 2 [kW]",0.011951916599102344,-0.001397277925641391,-0.024944643292633753,0.2055988847423051,1.0,-0.0061878995993265165,-0.008622436035133149,0.020000798407513676,0.0022846474340086735,0.12473104524986754,0.03034073833518968,0.015506127080082848,-0.010128752986265959,-0.043310375100134975,-0.19266634844556202,-0.09427477662462004,-0.027766851232380017,0.01854997365956567,0.00027454128905138103,0.009431998456788247,-0.1951850359831197,0.45132117889672024,-0.009612903240680148,0.01038818180564494,0.056239405186020205
"Garage door [kW]",0.012845692031732555,-0.01718632122369,-0.013712262553261521,-0.014789894922567546,-0.0061878995993265165,1.0,-0.004414064543356792,-0.001075441133933218,0.01185577142387795,-0.008166997851791195,0.0070648144840706915,0.004966252448162719,-0.00641817297401503,0.010687067791639627,0.00942452701903559,0.03755128293486652,0.016070440756651674,-0.004544829667313132,-0.010278929803204849,0.005405371995635515,0.0055638235860316024,0.012643155460596446,0.00032506526054225854,0.0019520275652872743,-0.019751484942734557
"Home office [kW]",-0.03643415282398246,0.051766864444576656,0.021604351484965666,-0.002271819374474114,-0.008622436035133149,-0.004414064543356792,1.0,-0.004296934634155629,0.008975382719184698,0.0036379565809635294,-0.04131924753449517,-0.0005898464545370085,-0.010389116161673892,0.004358424642448948,0.018115153572041305,-0.07074305494497574,-0.001583622156984034,-0.02368981575153647,-0.030360911136515078,0.013732869311698193,0.00747803288724873,0.2181186900985068,0.015036517803255212,0.010268963426031218,-0.011807638018345801
"Kitchen 12 [kW]",0.0015804594816794819,0.015277088816113546,0.00821151863397243,0.022279499317460313,0.020000798407513676,-0.001075441133933218,-0.004296934634155629,1.0,0.014937333772262286,-0.004776151632739611,0.03963670107208285,0.025653979774006973,0.000597576578374695,0.00329535807105808,-0.002900873740216759,-0.0015938185901503703,0.022303912539511438,-0.011908239072808437,-0.01583807336345681,0.01370921712210815,-0.009238679547675852,0.09476189366292413,-0.02213887986131827,-0.011890400299711478,-0.02518748696819261
"Kitchen 14 [kW]",-0.007451672751517858,-0.006009504729269288,-0.013207129200555416,0.012407839662222708,0.0022846474340086735,0.01185577142387795,0.008975382719184698,0.014937333772262286,1.0,0.08969722653566387,0.06299976510621785,0.0050656171121318296,0.011176799216351927,-0.005495972873703163,-0.03654306269866821,0.008402211621302022,-0.003367710809394292,-0.009877054228917206,-0.010369251932919288,0.003972212624823829,-0.03435151957146351,0.17507456691241102,0.0076638346759949905,0.010390432613638123,-0.007909120010745967
"Kitchen 38 [kW]",0.002929228456944378,-0.011631257631831326,-0.015389311816334269,0.04037872839024968,0.12473104524986754,-0.008166997851791195,0.0036379565809635294,-0.004776151632739611,0.08969722653566387,1.0,0.013327404025877142,0.0006771428074440224,-0.011055521446121978,-0.01606137419163143,-0.05259349045241126,0.022855934891230147,-0.02734807646311207,-0.027602727022945348,-0.01300399103253315,-0.012537357946131755,-0.04485245698445058,0.06742331119898323,0.01746369828349339,0.003765204581568825,0.009306148545061274
"Living room [kW]",0.002908655368776572,0.004241363644550077,0.05216143254237006,0.06455846363472409,0.03034073833518968,0.0070648144840706915,-0.04131924753449517,0.03963670107208285,0.06299976510621785,0.013327404025877142,1.0,0.08463187398573814,0.10973642089650551,0.030508834679529112,-0.03667487978611371,-0.04288183323019046,0.002366407689873449,-0.008592692995004468,-0.009548966336921063,0.011088899744507885,-0.0404880609941059,0.3000970856586891,-0.013912811057156534,0.010847042844724535,-0.005339567143608403
"Microwave [kW]",-0.0054747303646326,-0.007682494102676379,0.03147989306778608,0.000516558480583086,0.015506127080082848,0.004966252448162719,-0.0005898464545370085,0.025653979774006973,0.0050656171121318296,0.0006771428074440224,0.08463187398573814,1.0,-0.00703549989138416,0.006389370724082732,0.0017006802819687355,-0.0020751909683037408,0.021109703695790925,0.03357417762565311,0.01757627930829447,-0.005202018879904515,-0.012447346365074807,0.2148472477302467,-0.029507868809437246,-0.009612575148878743,-0.01951844045310699
"Well [kW]",-0.006401211346857587,0.02414552788320387,0.02333688287184935,0.01570278527442221,-0.010128752986265959,-0.00641817297401503,-0.010389116161673892,0.000597576578374695,0.011176799216351927,-0.011055521446121978,0.10973642089650551,-0.00703549989138416,1.0,0.04219978112598571,-0.02418444939021157,-0.0033374969221577843,0.0010806328782367372,0.0036264625279979657,9.97736879755729e-06,0.015203495780053887,-0.02247619884978687,0.3549635039519062,0.00549335701036769,-0.005751308619526403,-0.0061167778702232185
"Wine cellar [kW]",0.00825692891108096,-0.000569523403001241,0.06338453413333278,-0.09139360016779548,-0.043310375100134975,0.010687067791639627,0.004358424642448948,0.00329535807105808,-0.005495972873703163,-0.01606137419163143,0.030508834679529112,0.006389370724082732,0.04219978112598571,1.0,0.24010627508444088,0.04800074879794343,0.0457703834358843,0.013677517556662789,0.0029244813334624495,0.011005222035897544,0.23649268629241393,0.10826323722896751,0.016955155891138357,-0.02640516451916651,-0.045895981323656035
"dewPoint",-0.011331275871007357,-0.021911887510601923,0.09986777580248296,-0.2595983905871537,-0.19266634844556202,0.00942452701903559,0.018115153572041305,-0.002900873740216759,-0.03654306269866821,-0.05259349045241126,-0.03667487978611371,0.0017006802819687355,-0.02418444939021157,0.24010627508444088,1.0,0.07680918071463676,0.3120239305600894,0.11214976905664566,0.14004031785166465,-0.2092747182267593,0.7449700005495364,-0.14986034839145496,-0.07113605012793901,-0.12142207136763739,-0.19943570929524806
